Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данько,Едуард,Ігорович,male,2000-08-21,Аудитор,місто Бахмут,"сквер Гагаріна, буд. 45 кв. 256, Радомишль, 02308",+380 28 142-33-83,marusia63@example.com
Дерегус,Світлана,Мар'янівна,female,1968-05-26,Менеджер з закупівель,хутір Мелітополь,"набережна Тіниста, буд. 1 кв. 9, Мирноград, 78162",+380 06 917 27 57,ebezborodky@example.net
Коваленко,Маруся,Остапівна,female,1991-10-14,Дизайнер,селище Сокиряни,"набережна Нафтовиків, буд. 80, Кам'янське, 46881",697 10 37,orest43@example.com
Дараган,Едуард,Давидович,male,1981-11-17,Менеджер з продажу,селище Лозова ,"провулок Мічманський 1-й, буд. 69 кв. 2, Ізяслав, 24066",+380 03 816-16-72,dchmil@example.com
Уманець,Едуард,Денисович,male,1957-08-06,Менеджер з закупівель,село Ірміно,"провулок Пушкінська, буд. 10, Тальне, 55855",066 977-68-99,omelian88@example.org
Захарченко,Лариса,Олегівна,female,1947-03-16,Програміст,селище Ланівці,"проспект Маршрутна, буд. 056, Каховка, 04698",+380 (89) 550-19-82,odarka24@example.com
Малишко,Анжела,Володимирівна,female,1988-04-11,Асистент керівника,місто Рубіжне,"проспект Амундсена, 3-й, буд. 54 кв. 045, Радехів, 85590",+380 56 412 34 91,ntelychenko@example.com
Чайка,Дмитро,Сергійович,male,1978-06-09,Системний адміністратор,село Селидове,"проспект Гоголя, буд. 9, Джанкой, 60205",069 037 50 22,volodymyrabarannyk@example.com
Якименко,Валентина,Тарасівна,female,1995-12-03,Менеджер з закупівель,місто Кам'янське,"сквер Чапаєва, буд. 8 кв. 657, Сіверськ, 58881",+380 14 710-10-57,markhypenko@example.com
Андрейко,Василина,Олександрівна,female,1958-12-07,Програміст,місто Іловайськ,"набережна Оранжерейний, буд. 26 кв. 268, Зеленодольськ, 88670",+380 73 387-93-45,usirko@example.net
Демʼяненко,Симон,Андрійович,male,1964-04-30,Тестувальник,селище Вознесенівка,"вулиця Зелена гірка, буд. 228, Буськ, 38941",+380 (66) 838-91-78,achuiko@example.net
Атрощенко,Ірина,Ярославівна,female,1975-08-04,Менеджер з продажу,село Южноукраїнськ,"провулок Панченка, буд. 2, Південне , 45324",+380 94 447-30-34,zhukokhrim@example.org
Вишняк,Борислав,Григорійович,male,1975-01-30,Аудитор,село Кривий Ріг,"парк Хімічний 3-й, буд. 886, Чуднів, 92801",+380 (97) 464-91-56,aiesypenko@example.net
Адаменко,Опанас,Остапович,male,1971-03-24,Менеджер з маркетингу,селище Олександрія,"набережна Лядова, буд. 87, Володимир-Волинський, 91285",+380 86 372 67 36,hhavrylets@example.org
Ребрик,Теодор,Давидович,male,2000-08-23,PR-менеджер,селище Липовець,"проспект Садова 1-ша, буд. 4 кв. 752, Соледар, 16945",+380 55 399-77-34,vladyslavtarasenko@example.org
Акименко,Яків,Костянтинович,male,1968-10-15,Копірайтер,хутір Шахтарськ,"шосе Чорноморський, буд. 138 кв. 4, Боярка, 26359",609 71 53,omelian82@example.org
Самойленко,Лукʼян,Ярославович,male,1952-10-15,Менеджер з закупівель,селище Святогірськ,"сквер Складська, буд. 8, Теребовля, 57693",079 670 01 15,kovalenkoemiliia@example.com
Оробець,Ірена,Сергіївна,female,1960-05-26,Фінансовий аналітик,місто Лубни,"вулиця Гоголя, буд. 9 кв. 79, Черкаси, 27123",+380 62 864-58-02,bdrobiazko@example.net
Ґоляш,Єлисавета,Назарівна,female,1981-09-24,Інженер з якості,місто Ірпінь,"площа Вапняна, буд. 68, Коростень, 89747",060 997 33 55,kolodubrozaliia@example.com
Артюх,Остап,Романович,male,1939-06-09,Асистент керівника,село Батурин,"парк Слави, буд. 0 кв. 1, Чорнобиль, 46967",352 87 42,zalekseienko@example.com
Демʼяненко,Галина,Юріївна,female,1941-09-15,Аналітик даних,місто Буськ,"площа Ковалевського, буд. 5, Алушта, 91003",362-76-87,nestor32@example.net
Андрійчук,Августин,Федорович,male,1967-04-12,Менеджер з продажу,село Благовіщенське,"парк Ананьївська, буд. 1 кв. 13, Іршава, 68926",+380 43 351-11-56,mzaika@example.org
Мазепа,Гліб,Марківич,male,1981-07-28,Менеджер з продукту,село Кременчук,"парк Балтський 4-й, буд. 526 кв. 450, Батурин, 51216",+380 69 108-07-31,dutkaielysei@example.org
Гресь,Софія,Зеновіївна,female,2003-12-18,Менеджер з продукту,село Тараща,"узвіз Іванова 2-й, буд. 5, Лохвиця, 45502",+380 76 211 94 68,klavdiia38@example.net
Сагаль,Амвросій,Тарасович,male,1982-09-18,Тестувальник,село Чигирин,"проспект Маяковського, буд. 773 кв. 95, Добропілля, 11637",+380 95 244-16-96,viterhavrylo@example.net
Голобородько,Мілена,Вікторівна,female,2000-12-23,Копірайтер,місто Чортків,"сквер Флотський 3-й, буд. 7, Славутич, 49640",+380 98 900-92-38,yievdokymenko@example.org
Назаренко,Віталій,Денисович,male,1993-05-11,Архітектор,місто Сміла,"площа Лазурний 6-й, буд. 8, Камінь-Каширський, 91182",004 047-65-17,varvara90@example.org
Ярема,Охрім,Данилович,male,1983-09-27,Асистент керівника,хутір Сорокине,"сквер Станційна 2-га, буд. 05 кв. 5, Кіцмань, 43687",001 500-54-50,uhavrylets@example.org
Ващук,Софія,Вікторівна,female,1961-08-23,Аналітик даних,селище Керч,"парк Геранієва, буд. 1, Новогродівка, 92585",852 10 91,osvystun@example.com
Дашенко,Алевтин,Костянтинович,male,1963-09-04,PR-менеджер,селище Рожище,"проспект Монгольська, буд. 95, Новодружеськ, 98723",+380 04 854 48 33,ihor49@example.org
Мамчур,Валентина,Мар'янівна,female,1952-09-25,PR-менеджер,хутір Приморськ (Україна),"проспект Косовський, буд. 6, Мукачево, 35121",735 66 91,ivashchenkobohuslav@example.org
Бандера,Марина,Зеновіївна,female,1994-11-03,Програміст,село Яготин,"узвіз Амурський 2-й, буд. 008, Сорокине, 66568",065 284-78-02,bevzenkorozaliia@example.org
Вдовенко,Пармен,Олегович,male,1979-02-01,PR-менеджер,місто Бердичів,"вулиця Довженка, буд. 7, Новодністровськ, 46178",+380 79 232-98-00,kozaklukian@example.net
Швачко,Марта,Олегівна,female,2002-07-01,Архітектор,хутір Верхівцеве,"набережна Адміральський, буд. 7 кв. 6, Кілія, 13819",178 54 26,pviter@example.net
Чекалюк,Оксана,Мар'янівна,female,1977-01-15,Аналітик даних,хутір Алупка,"набережна Суднобудівний, буд. 972 кв. 9, Лисичанськ, 38227",+380 22 845-05-08,olehiurchyshyn@example.org
Ященко,Вікторія,Юріївна,female,1982-01-01,Дизайнер,селище Алушта,"набережна Цементний, буд. 70, Івано-Франківськ, 19598",253 65 69,ltsymbal@example.com
Мазепа,Орхип,Денисович,male,1995-12-11,Інженер з якості,село Остер ,"провулок Вишнева, буд. 4 кв. 5, Білгород-Дністровський, 37659",056 324-42-02,kopytkodavyd@example.net
Дзиндра,Антон,Геннадійович,male,1980-02-07,Архітектор,місто Новомиргород,"вулиця Десантний, буд. 069 кв. 4, Черкаси, 17341",873-12-40,borys60@example.com
Бабʼюк,Валентина,Зеновіївна,female,1971-01-26,Аналітик даних,місто Рубіжне,"узвіз Літній, буд. 527, Вишгород, 75665",062 207-03-89,mazurihnat@example.com
Макогон,Адам,Давидович,male,1953-09-29,Менеджер з маркетингу,село Яремче,"вулиця Дорожня, буд. 3, Вугледар, 16366",075 57 83,simashkevychdmytro@example.com
Сіробаба,Болеслав,Максимович,male,1986-03-12,Інженер з якості,селище Сокаль,"набережна Чапаєва, буд. 6, Барвінкове, 51867",+380 85 802 18 16,adashvaika@example.net
Харченко,Охрім,Марківич,male,1984-09-18,HR-менеджер,хутір Ладижин,"площа Вишневий, буд. 30 кв. 010, Бобринець, 89736",274-73-79,eskorobohatko@example.com
Сірко,Теодор,Леонідович,male,1953-02-22,Дизайнер,хутір Кропивницький,"площа Кондренка, буд. 3 кв. 99, Кипуче, 51145",+380 70 209 64 09,iefrem26@example.com
Кабалюк,Пилип,Мар'янович,male,1987-04-14,Менеджер з продажу,селище Лисичанськ,"площа Зарічна, буд. 59 кв. 29, Батурин, 53793",+380 77 763-43-26,iaremabaklan@example.net
Вишиваний,Ігор,Костянтинович,male,1977-03-12,Менеджер з закупівель,хутір Слов'янськ,"вулиця Таїрова, буд. 30 кв. 0, Немирів, 83606",047 842 65 43,anzhelatiahnybok@example.net
Непорожній,Антон,Вікторович,male,1986-11-06,HR-менеджер,селище Дунаївці,"площа Південна дорога, буд. 4, Долина , 48442",056 809 71 00,zvdovenko@example.com
Батюк,Ілля,Тарасович,male,1994-04-13,Асистент керівника,хутір Новгород-Сіверський,"сквер Польова, буд. 10, Вишгород, 22173",966-14-77,orlykvira@example.com
Бевз,Леон,Григорійович,male,1975-09-04,Копірайтер,місто Добромиль,"провулок Орликова, буд. 294 кв. 49, Іловайськ, 81558",+380 87 054 99 81,volodymyraivasiuk@example.com
Безбородьки,Орина,Костянтинівна,female,1944-09-16,Офіс-менеджер,селище Антрацит ,"вулиця Клинова, буд. 308 кв. 4, Чорнобиль, 13122",+380 04 727 11 10,vasylynavdovychenko@example.net
Тягнибок,Станіслав,Іванович,male,1985-04-08,Асистент керівника,хутір Берислав,"провулок 40-річчя оборони Одеси, буд. 76, Пустомити, 99900",004 024-67-90,symoniakovenko@example.com
Опанасенко,Лесь,Сергійович,male,1999-03-01,Аналітик даних,місто Городня,"узвіз Амундсена, 3-й, буд. 042 кв. 819, Старокостянтинів, 55755",009 237 68 99,wiashchenko@example.net
Бебешко,Дмитро,Станіславович,male,1996-10-03,Інженер з якості,село Бердичів,"набережна Виноградна, буд. 0, Самбір, 62245",+380 (94) 430-58-96,viushchenko@example.org
Тимчук,Пилип,Борисович,male,1969-08-16,Тестувальник,хутір Родинське,"провулок Маразліївська, буд. 802 кв. 99, Новий Буг, 27795",+380 00 363 61 84,ikovalenko@example.org
Стельмах,Геннадій,Олексійович,male,1940-03-20,Аудитор,хутір Часів Яр,"набережна Дружний, буд. 36 кв. 8, Фастів, 03895",+380 05 425 47 72,rostyslav54@example.org
Вергун,Тетяна,Станіславівна,female,2003-03-18,Офіс-менеджер,селище Марганець ,"вулиця Братська, буд. 4 кв. 797, Добропілля, 31927",612 84 39,ldankevych@example.net
Франко,Маруся,Григоріївна,female,1997-12-18,Менеджер з продажу,місто Кагарлик,"шосе Молодогвардійська, буд. 0 кв. 8, Білогірськ, 99461",+380 57 311-66-60,babiiolena@example.org
Семенченко,Любов,Федорівна,female,1977-10-22,HR-менеджер,місто Соледар,"площа Радісний, буд. 18 кв. 6, Радехів, 08579",+380 98 559-88-10,adam66@example.org
Євтушенко,Артем,Сергійович,male,1982-12-22,Системний адміністратор,селище Перемишляни,"парк Пересипська 7-ма, буд. 587 кв. 3, Чорнобиль, 78313",233 61 28,kfranchuk@example.com
Пушкар,Мирон,Павлович,male,1961-07-27,Менеджер з продажу,село Шумськ,"набережна Лінія 33-тя, буд. 2, Малин, 47598",274 49 06,ntaran@example.com
Джунь,Аарон,Сергійович,male,2007-11-17,Асистент керівника,хутір Кремінна,"шосе Михайлівська, буд. 235 кв. 7, Любомль, 78257",052 765-88-97,nhavriushenko@example.org
Ткаченко,Нестор,Геннадійович,male,2002-09-21,Офіс-менеджер,хутір Червоносів,"вулиця Кордонна, буд. 76 кв. 3, Волноваха, 16647",+380 (98) 498-84-31,dzasenko@example.org
Теличенко,Кирило,Григорійович,male,1976-10-27,Кадровий менеджер,селище Берегове,"сквер Басейний 2-й, буд. 898 кв. 7, Ялта, 19909",024 580 27 92,dvernydub@example.org
Данчук,Симон,Данилович,male,1939-04-14,Менеджер з маркетингу,селище Біляївка,"провулок Васнецова, буд. 7 кв. 8, Кам'янка (Черкаська область), 89326",+380 61 455 76 78,qdashenko@example.org
Цибуленко,Франц,Олегович,male,2004-08-03,Аналітик даних,хутір Ржищів,"вулиця Житомирська, буд. 64 кв. 2, Маріуполь, 81564",+380 74 867 31 35,bierchenko@example.net
Александренко,Кирило,Ярославович,male,1943-08-24,Менеджер з продукту,селище Селидове,"сквер Проектна 1-ша, буд. 34 кв. 4, Житомир, 36092",+380 98 595-68-99,rostyslavorlyk@example.com
Приходько,Валентин,Олександрович,male,1992-09-16,HR-менеджер,селище Івано-Франківськ,"проспект Заводська 3-тя, буд. 619, Сніжне, 09728",988-52-16,alevtynshchors@example.org
Ващук,Миколай,Васильович,male,1940-10-03,Системний адміністратор,селище Яворів,"набережна Вєтрова, буд. 6, Підгородне, 61433",650 16 28,tsisykhlib@example.net
Данченко,Ірена,Василівна,female,2008-04-08,Асистент керівника,місто Чернігів,"узвіз Лютневий 1-й, буд. 08, Помічна, 35625",+380 84 238 46 15,oleszatovkaniuk@example.com
Лазаренко,Єлисей,Олександрович,male,1939-01-20,Менеджер з продажу,селище Первомайськ,"набережна Селекційний, буд. 065, Христинівка, 20795",923-09-43,okseniiasmyk@example.org
Чорновіл,Зорян,Давидович,male,1958-08-02,HR-менеджер,місто Красногорівка,"проспект Селекційна, буд. 3, Географія Вільнянська, 85211",081 326 61 80,vdashkevych@example.org
Ільєнко,Степан,Мар'янович,male,1949-12-12,Архітектор,село Радивилів,"сквер Лінія 52-га, буд. 9, Верхівцеве, 39709",105 36 48,liza14@example.net
Сірченко,Аркадій,Давидович,male,1967-02-09,Тестувальник,селище Снігурівка,"набережна Різдвяна, буд. 291 кв. 65, Курахове, 40770",+380 (02) 783-07-49,vovkvalerii@example.com
Мазур,Пріска,Данилівна,female,1985-02-13,Копірайтер,хутір Ровеньки,"площа Градоначальницька, буд. 703 кв. 9, Марганець , 66779",086 139-26-00,jvovk@example.org
Царенко,Григорій,Зеновійович,male,1948-01-13,Системний адміністратор,місто Привілля,"набережна Осіння, буд. 966, Вільнянськ, 38766",629 67 81,marusia48@example.net
